Day,Subj,Task,PDLat,PDndMax,PDndMean,PDndMed,Eye,EyeTask
Day1,S1,Stressed,1332.274659,2.73807901260986,2.03189963018987,2.06011580914971,Left,Left-CT
Day1,S2,Stressed,1508.933758,1.7513968574705,1.14051634798159,1.13786237917088,Left,Left-CT
Day2,S3,Stressed,1849.586674,1.53731156645454,1.07176910368556,1.07033021885064,Left,Left-CT
Day2,S5,Stressed,93.50827,1.39333181502965,1.10133610036763,1.09879891468466,Left,Left-CT
Day4,S7,Stressed,10.60141,1.47799769762863,1.05663068289314,1.05476607070855,Left,Left-CT
Day1,S11,Stressed,396.811721,1.44674569123407,1.07971002504559,1.0888248537946,Left,Left-CT
Day3,S12,Stressed,563.282272,1.50662556614381,1.18152390790153,1.17851639611993,Left,Left-CT
Day3,S13,Stressed,1570.736725,1.26651594405509,0.940763512151289,0.946848913962116,Left,Left-CT
Day4,S15,Stressed,147.483218,1.43852929347775,1.10553982755336,1.10595310561682,Left,Left-CT
Day2,S17,Stressed,1339.377858,1.48329679054756,1.13110120347423,1.12398928374077,Left,Left-CT
Day3,S19,Stressed,1735.862978,1.3904428998455,1.04334464213417,1.04050609543416,Left,Left-CT
Day4,S20,Stressed,561.556766,1.47949483387369,1.08075247785736,1.08500013541214,Left,Left-CT
Day3,S22,Stressed,781.59736,1.58476595977762,1.1882504589121,1.19117342315145,Left,Left-CT
Day1,S23,Stressed,1560.643714,1.56118421327491,1.13845969809196,1.1381319228993,Left,Left-CT
Day2,S25,Stressed,17.533581,1.28709592424354,1.01247871625698,1.01398102114085,Left,Left-CT
Day4,S26,Stressed,701.577867,1.57355504032638,1.20038785760295,1.19554524925957,Left,Left-CT
Day1,S1,Stressed,1332.174739,2.85103824885142,1.93064487735576,1.94737427574287,Right,Right-CT
Day1,S2,Stressed,173.127777,1.45282388243637,1.11198569232565,1.10465715448836,Right,Right-CT
Day2,S3,Stressed,820.685003,1.58584684134254,1.07832941476645,1.08051198122824,Right,Right-CT
Day2,S5,Stressed,590.170568,1.36238604268117,1.07094292199255,1.06637042462118,Right,Right-CT
Day4,S7,Stressed,322.568258,1.39339365302655,1.04986968261181,1.04760960000547,Right,Right-CT
Day1,S11,Stressed,1577.54779,1.45420779975195,1.09205405468612,1.10018502088362,Right,Right-CT
Day3,S12,Stressed,1786.140646,1.47875252595258,1.16153177310196,1.1561999275204,Right,Right-CT
Day3,S13,Stressed,1241.473981,1.32977940499246,0.967423703769999,0.972994874065946,Right,Right-CT
Day4,S15,Stressed,162.603212,1.38708337432681,1.09222961012636,1.09357246104946,Right,Right-CT
Day2,S17,Stressed,516.619718,1.49684207227623,1.10352685093294,1.09720700459318,Right,Right-CT
Day3,S19,Stressed,1735.763052,1.38866023777383,1.05259242701855,1.05330435400493,Right,Right-CT
Day4,S20,Stressed,712.405374,1.51870614157856,1.12925012480457,1.13283580863777,Right,Right-CT
Day3,S22,Stressed,419.937597,1.68110865039486,1.20163771388782,1.20334449137834,Right,Right-CT
Day1,S23,Stressed,198.347698,1.46127300541986,1.11818900390397,1.11877231741061,Right,Right-CT
Day2,S25,Stressed,1836.744835,1.75617883172505,1.04357853256049,1.03952055211406,Right,Right-CT
Day4,S26,Stressed,131.525366,1.64106237859272,1.25641759904509,1.25347522901645,Right,Right-CT
Day1,S1,Relaxed,1667.488517,1.23367983264775,0.930195706951551,0.930483851752867,Left,Left-ND
Day1,S2,Relaxed,15.851676,1.25130165737625,0.857104114996237,0.847884580921993,Left,Left-ND
Day2,S3,Relaxed,1658.699756,1.71941953888737,1.07104238867559,1.05770671994994,Left,Left-ND
Day2,S5,Relaxed,836.627774,1.35005549566362,1.01479210242063,1.01477623262267,Left,Left-ND
Day4,S7,Relaxed,1830.463395,1.59524371890754,1.00243164872005,0.998357362138493,Left,Left-ND
Day1,S11,Relaxed,50.333189,1.25644010644697,0.872501984267049,0.877247177788675,Left,Left-ND
Day3,S12,Relaxed,1679.77469,1.45872752341978,1.01953941346371,1.01342224525927,Left,Left-ND
Day3,S13,Relaxed,1632.44305,1.46101263596226,1.04529049289162,1.04926004124042,Left,Left-ND
Day4,S15,Relaxed,987.946336,1.43954494053028,0.991211586622585,0.987793581474449,Left,Left-ND
Day2,S17,Relaxed,1838.801419,1.48987426573418,1.02826108193877,1.01215870723425,Left,Left-ND
Day3,S19,Relaxed,1061.858887,1.36393094938689,0.953213951704872,0.959467114156726,Left,Left-ND
Day4,S20,Relaxed,1514.984778,1.43858209553784,1.0097731585572,1.00649491688698,Left,Left-ND
Day3,S22,Relaxed,1213.295457,1.46041023583712,0.93783476611954,0.934537285634116,Left,Left-ND
Day1,S23,Relaxed,765.308967,1.42928435341395,0.923386332163194,0.921494511560833,Left,Left-ND
Day2,S25,Relaxed,1481.504493,1.30954311592455,0.946377832980952,0.94702589235006,Left,Left-ND
Day4,S26,Relaxed,1015.404419,1.25045642577373,0.843866540546543,0.84877618156824,Left,Left-ND
Day1,S1,Relaxed,1671.728614,1.24911543582266,0.924430745810269,0.923764689498623,Right,Right-ND
Day1,S2,Relaxed,15.768407,1.22971606394892,0.86392076128047,0.860174117415044,Right,Right-ND
Day2,S3,Relaxed,1541.590166,1.68024470220033,1.04697311178428,1.03980790747566,Right,Right-ND
Day2,S5,Relaxed,1744.297163,1.3187972973196,0.93508699763719,0.936334311331254,Right,Right-ND
Day4,S7,Relaxed,715.171155,1.40087648722344,0.994144857716604,0.991556601982856,Right,Right-ND
Day1,S11,Relaxed,50.349843,1.28312174817092,0.906667029459576,0.912956306087678,Right,Right-ND
Day3,S12,Relaxed,1686.41936,1.53186845541281,1.00572795509032,0.999662550547524,Right,Right-ND
Day3,S13,Relaxed,950.769443,1.47120105842837,1.05166505251136,1.05492862654321,Right,Right-ND
Day4,S15,Relaxed,1823.727128,1.54806906161443,1.00297305189642,0.995542520622572,Right,Right-ND
Day2,S17,Relaxed,1819.947376,1.81031068246984,1.03447577060441,1.01939106163082,Right,Right-ND
Day3,S19,Relaxed,1096.798078,1.40158702511957,0.95997339017407,0.968336492048376,Right,Right-ND
Day4,S20,Relaxed,192.084978,1.52621588698537,1.01502202739184,1.01477775919958,Right,Right-ND
Day3,S22,Relaxed,393.728014,1.35695041199638,0.923979022200591,0.925094803257364,Right,Right-ND
Day1,S23,Relaxed,1210.915608,1.46577084611291,0.953871954139665,0.950247760572954,Right,Right-ND
Day2,S25,Relaxed,1831.947698,1.51525856336779,0.954621675033397,0.954141726089168,Right,Right-ND
Day4,S26,Relaxed,794.54339,1.32501511968146,0.851563336580642,0.851071845014806,Right,Right-ND
